Productnummer;Omschrijving;Inclusieve winkelprijzen;Exclusieve winkelprijzen;Persoonlijke prijs;Leverancier;LeverancierId
003562;SAVAL INBOUWWASTAFEL WIT 53X44CM;199,41;164,80;98,88;Sterck;LF7FIsS6Lh
000802;PRECIOSA INBOUWWASTAFEL DIAM.50CM KERATEC WIT;525,14;434,00;260,40;Sterck;LF7FIsS6Lh
000204;ASTOR INBOUWWASTAFEL 54,2X40,9CM WIT;119,79;99,00;59,40;Sterck;LF7FIsS6Lh
000288;OCEANE INBOUWLAVABO 54X44CM;129,62;107,12;64,27;Sterck;LF7FIsS6Lh
010446;D-CODE INBOUWWASTAFEL 545X435 MM 1 KRAANGAT WIT;136,73;113,00;67,80;Sterck;LF7FIsS6Lh
012540;STARCK 3 INBOUWWASTAFEL PORSELEIN WIT 56X46CM;343,64;284,00;170,40;Sterck;LF7FIsS6Lh
010604;STRADA WASTAFEL 500 X 420 X 146 WIT;242,00;200,00;120,00;Sterck;LF7FIsS6Lh
007111;STRADA WASTAFEL 600 X 420 X 145 WIT;272,25;225,00;135,00;Sterck;LF7FIsS6Lh
000250;CONNECT CUBE WASTAFEL 50X46 CM WIT;130,08;107,50;64,50;Sterck;LF7FIsS6Lh
000251;CONNECT CUBE WASTAFEL 60X46 CM WIT;145,20;120,00;72,00;Sterck;LF7FIsS6Lh
000310;SAPHO COLLECT. WASTAF M/VERCHRDE HANDDOEKHOUDER 65X52CM WIT;659,35;544,92;326,95;Sterck;LF7FIsS6Lh
003561;SAVAL ZUIL WIT;94,72;78,28;46,97;Sterck;LF7FIsS6Lh
074199;SAVAL WASTAFEL 60X45 WIT;81,05;66,98;40,19;Sterck;LF7FIsS6Lh
000801;PLAN WASTAFEL 60CM WIT;159,72;132,00;79,20;Sterck;LF7FIsS6Lh
000305;SAN REMO SIFON KAP WIT;83,50;69,01;41,41;Sterck;LF7FIsS6Lh
000306;SAN REMO WASTAFEL 60X49CM WIT;108,43;89,61;53,77;Sterck;LF7FIsS6Lh
000309;SAN REMO ZUIL WIT;79,76;65,92;39,55;Sterck;LF7FIsS6Lh
000408;WASTAFEL 50CM VERO WIT MET OVERLOOP 1 KRAANG GESLEPEN;393,25;325,00;195,00;Sterck;LF7FIsS6Lh
000443;D-CODE WASTAFEL PORCELEIN WIT 60X46CM;87,12;72,00;46,08;Sterck;LF7FIsS6Lh
